DEPTH,CON_MEAN_DYNA,DIS_MEAN_DYNA,HOM_MEAN_DYNA,ENG_MEAN_DYNA,COR_MEAN_DYNA,ASM_MEAN_DYNA,ENT_MEAN_DYNA,CON_SUB_DYNA,DIS_SUB_DYNA,HOM_SUB_DYNA,ENG_SUB_DYNA,COR_SUB_DYNA,ASM_SUB_DYNA,ENT_SUB_DYNA,CON_X_DYNA,DIS_X_DYNA,HOM_X_DYNA,ENG_X_DYNA,COR_X_DYNA,ASM_X_DYNA,ENT_X_DYNA,CON_Y_DYNA,DIS_Y_DYNA,HOM_Y_DYNA,ENG_Y_DYNA,COR_Y_DYNA,ASM_Y_DYNA,ENT_Y_DYNA
2192.20966,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.23506,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.26046,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.28586,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.31126,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.33666,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.36206,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.38746,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.41286,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.43826,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.46366,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.48906,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.51446,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.53986,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.56526,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.59066,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.61606,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.64146,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.66686,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.69226,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.71766,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.74306,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.76846,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.79386,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.81926,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.84466,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.87006,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.89546,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.92086,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.94626,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.97166,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2192.99706,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.02246,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.04786,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.07326,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.09866,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.12406,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.14946,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
